;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TABELA 6 - EVOLUÇÃO MENSAL DE ESTOQUE, ADMISSÕES, DESLIGAMENTOS E SALDO POR GRUPAMENTO DE ATIVIDADES ECONÔMICAS - SÉRIE SEM AJUSTES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Grupamento de Atividades Econômicas e Seção CNAE 2.0;Janeiro/2020;;;;Fevereiro/2020;;;;;Março/2020;;;;;Abril/2020;;;;;Maio/2020;;;;;Junho/2020;;;;;Julho/2020;;;;;Agosto/2020;;;;;Setembro/2020;;;;;Outubro/2020;;;;;Novembro/2020;;;;;Dezembro/2020;;;;;Janeiro/2021;;;;;Fevereiro/2021;;;;;Março/2021;;;;;Abril/2021;;;;;Maio/2021;;;;;Junho/2021;;;;;Julho/2021;;;;;Agosto/2021;;;;;Setembro/2021;;;;;Outubro/2021;;;;;Novembro/2021;;;;;Dezembro/2021;;;;;Janeiro/2022;;;;;Fevereiro/2022;;;;;Março/2022;;;;;Abril/2022;;;;;Maio/2022;;;;;Junho/2022;;;;;Julho/2022;;;;;Agosto/2022;;;;;Setembro/2022;;;;;Outubro/2022;;;;;Novembro/2022;;;;;Dezembro/2022;;;;;Janeiro/2023;;;;;Fevereiro/2023;;;;;Março/2023;;;;;Abril/2023;;;;;Maio/2023;;;;;Junho/2023;;;;;Julho/2023;;;;;Agosto/2023;;;;;Setembro/2023;;;;;Outubro/2023;;;;;Novembro/2023;;;;;Acumulado do Ano (2023);;;;Últimos 12 Meses** (Dez/22 a Nov/23) - com ajuste;;;;;;;;;;
;;Estoque;Admissões;Desligamentos;Saldos;Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);"Estoque****
(Estoque de referência de 2023)";Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Estoque;Admissões;Desligamentos;Saldos;Variação Relativa (%);Admissões;Desligamentos;Saldos;Variação Relativa (%);Admissões;Desligamentos;Saldos;Variação Relativa (%);;;;;;;
;Total;37.502.058;1.384.986;1.292.308;92.678;37.700.426;1.483.832;1.285.464;198.368;0,53;37.468.110;1.347.665;1.579.981;-232.316;-0,62;36.565.793;617.644;1.519.961;-902.317;-2,41;36.213.003;716.330;1.069.120;-352.790;-0,96;36.189.892;910.176;933.287;-23.111;-0,06;36.313.189;1.061.898;938.601;123.297;0,34;36.551.314;1.257.362;1.019.237;238.125;0,66;36.864.878;1.406.746;1.093.182;313.564;0,86;37.253.816;1.571.402;1.182.464;388.938;1,06;37.662.764;1.552.837;1.143.889;408.948;1,10;37.580.646;1.256.247;1.338.365;-82.118;-0,22;37.837.705;1.550.075;1.293.016;257.059;0,68;38.235.620;1.715.425;1.317.510;397.915;1,05;38.411.950;1.626.885;1.450.555;176.330;0,46;38.525.872;1.396.311;1.282.389;113.922;0,30;38.804.577;1.558.316;1.279.611;278.705;0,72;39.114.613;1.609.748;1.299.712;310.036;0,80;39.431.338;1.666.051;1.349.326;316.725;0,81;39.804.682;1.819.411;1.446.067;373.344;0,95;40.121.675;1.789.967;1.472.974;316.993;0,80;40.374.758;1.760.739;1.507.656;253.083;0,63;40.698.870;1.772.766;1.448.654;324.112;0,80;40.433.059;1.437.910;1.703.721;-265.811;-0,65;40.588.237;1.777.646;1.622.468;155.178;0,38;40.916.744;2.013.143;1.684.636;328.507;0,81;41.052.933;1.953.071;1.816.882;136.189;0,33;41.249.899;1.854.557;1.657.591;196.966;0,48;41.526.917;1.960.960;1.683.942;277.018;0,67;41.804.861;1.898.876;1.620.932;277.944;0,67;42.023.763;1.886.537;1.667.635;218.902;0,52;42.302.402;2.051.800;1.773.161;278.639;0,66;42.580.487;1.926.572;1.648.487;278.085;0,66;42.739.941;1.789.462;1.630.008;159.454;0,37;42.875.436;1.747.894;1.612.399;135.495;0,32;42.444.425;1.382.923;1.813.934;-431.011;-1,01;42.527.722;1.874.226;1.790.929;83.297;0,20;42.769.507;1.949.844;1.708.059;241.785;0,57;42.964.678;2.168.418;1.973.247;195.171;0,46;43.144.683;1.865.279;1.685.274;180.005;0,42;43.299.953;2.000.202;1.844.932;155.270;0,36;43.457.151;1.914.130;1.756.932;157.198;0,36;43.599.853;1.883.198;1.740.496;142.702;0,33;43.820.697;2.099.211;1.878.367;220.844;0,51;44.032.461;1.917.057;1.705.293;211.764;0,48;44.222.827;1.941.281;1.750.915;190.366;0,43;44.352.924;1.866.752;1.736.655;130.097;0,29;21.479.598;19.571.099;1.908.499;4,50;22.862.521;21.385.033;1.477.488;3,45;;;;;;;
;Agricultura, pecuária, produção florestal, pesca e aquicultura;1.427.862;69.520;53.425;16.095;1.432.804;70.254;65.312;4.942;0,35;1.428.355;68.635;73.084;-4.449;-0,31;1.422.914;52.759;58.200;-5.441;-0,38;1.438.694;69.794;54.014;15.780;1,11;1.475.523;84.013;47.184;36.829;2,56;1.498.488;73.886;50.921;22.965;1,56;1.509.172;66.190;55.506;10.684;0,71;1.517.092;68.302;60.382;7.920;0,52;1.516.795;65.023;65.320;-297;-0,02;1.500.474;55.550;71.871;-16.321;-1,08;1.476.706;45.905;69.673;-23.768;-1,58;1.509.589;88.199;55.316;32.883;2,23;1.532.464;87.523;64.648;22.875;1,52;1.535.874;89.350;85.940;3.410;0,22;1.547.000;85.399;74.273;11.126;0,72;1.589.280;105.783;63.503;42.280;2,73;1.627.661;104.436;66.055;38.381;2,41;1.653.181;93.045;67.525;25.520;1,57;1.662.291;84.941;75.831;9.110;0,55;1.671.177;90.004;81.118;8.886;0,53;1.665.333;83.540;89.384;-5.844;-0,35;1.648.536;73.989;90.786;-16.797;-1,01;1.622.463;63.456;89.529;-26.073;-1,58;1.647.477;106.242;81.228;25.014;1,54;1.664.892;104.570;87.155;17.415;1,06;1.648.897;98.510;114.505;-15.995;-0,96;1.647.876;95.820;96.841;-1.021;-0,06;1.674.623;121.088;94.341;26.747;1,62;1.709.083;123.008;88.548;34.460;2,06;1.724.953;103.950;88.080;15.870;0,93;1.732.677;103.696;95.972;7.724;0,45;1.742.151;99.961;90.487;9.474;0,55;1.740.716;91.032;92.467;-1.435;-0,08;1.722.505;80.060;98.271;-18.211;-1,05;1.685.584;63.391;100.312;-36.921;-2,14;1.708.731;111.632;88.485;23.147;1,37;1.725.015;104.811;88.527;16.284;0,95;1.724.683;117.601;117.933;-332;-0,02;1.727.585;103.483;100.581;2.902;0,17;1.747.144;128.396;108.837;19.559;1,13;1.774.303;125.832;98.673;27.159;1,55;1.787.281;104.362;91.384;12.978;0,73;1.792.407;105.218;100.092;5.126;0,29;1.798.349;97.457;91.515;5.942;0,33;1.796.693;94.611;96.267;-1.656;-0,09;1.775.676;81.983;103.000;-21.017;-1,17;1.175.386;1.085.294;90.092;5,34;1.238.777;1.185.606;53.171;3,09;;;;;;;
;Indústria geral;7.550.221;240.766;184.933;55.833;7.586.453;250.477;214.245;36.232;0,48;7.552.712;225.973;259.714;-33.741;-0,44;7.347.634;96.258;301.336;-205.078;-2,72;7.246.969;102.957;203.622;-100.665;-1,37;7.241.452;145.974;151.491;-5.517;-0,08;7.294.083;207.798;155.167;52.631;0,73;7.386.916;256.386;163.553;92.833;1,27;7.497.616;295.576;184.876;110.700;1,50;7.583.399;286.999;201.216;85.783;1,14;7.633.912;253.408;202.895;50.513;0,67;7.591.010;174.451;217.353;-42.902;-0,56;7.681.246;296.040;205.804;90.236;1,19;7.774.245;322.289;229.290;92.999;1,21;7.815.037;294.054;253.262;40.792;0,52;7.833.677;243.008;224.368;18.640;0,24;7.877.440;258.154;214.391;43.763;0,56;7.927.562;262.080;211.958;50.122;0,64;7.986.392;278.431;219.601;58.830;0,74;8.059.154;310.814;238.052;72.762;0,91;8.135.349;310.478;234.283;76.195;0,95;8.162.046;270.604;243.907;26.697;0,33;8.170.223;243.191;235.014;8.177;0,10;8.078.176;166.083;258.130;-92.047;-1,13;8.129.595;284.673;233.254;51.419;0,64;8.172.595;312.833;269.833;43.000;0,53;8.187.855;309.012;293.752;15.260;0,19;8.214.233;285.885;259.507;26.378;0,32;8.261.208;308.939;261.964;46.975;0,57;8.302.725;293.330;251.813;41.517;0,50;8.353.228;303.323;252.820;50.503;0,61;8.405.988;324.438;271.678;52.760;0,63;8.462.897;306.362;249.453;56.909;0,68;8.477.788;263.318;248.427;14.891;0,18;8.452.081;229.430;255.137;-25.707;-0,30;8.337.835;156.219;270.465;-114.246;-1,35;8.371.858;296.574;262.551;34.023;0,41;8.412.238;305.814;265.434;40.380;0,48;8.433.222;334.970;313.986;20.984;0,25;8.451.935;291.273;272.560;18.713;0,22;8.460.364;305.955;297.526;8.429;0,10;8.472.481;288.512;276.395;12.117;0,14;8.493.735;291.362;270.108;21.254;0,25;8.524.821;327.861;296.775;31.086;0,37;8.568.035;301.495;258.281;43.214;0,51;8.588.989;285.880;264.926;20.954;0,24;8.576.078;250.561;263.472;-12.911;-0,15;3.280.257;3.042.014;238.243;2,86;3.436.476;3.312.479;123.997;1,47;;;;;;;
;Indústrias Extrativas;218.065;3.284;3.127;157;219.404;4.463;3.124;1.339;0,61;219.211;3.685;3.878;-193;-0,09;217.925;2.063;3.349;-1.286;-0,59;217.381;2.598;3.142;-544;-0,25;218.017;3.563;2.927;636;0,29;218.908;4.062;3.171;891;0,41;219.782;4.400;3.526;874;0,40;220.679;4.611;3.714;897;0,41;221.899;4.682;3.462;1.220;0,55;222.979;4.383;3.303;1.080;0,49;222.438;3.405;3.946;-541;-0,24;223.922;4.711;3.227;1.484;0,67;226.270;5.560;3.212;2.348;1,05;227.676;5.477;4.071;1.406;0,62;230.044;5.715;3.347;2.368;1,04;232.594;6.209;3.659;2.550;1,11;234.833;5.903;3.664;2.239;0,96;236.967;6.080;3.946;2.134;0,91;238.648;5.921;4.240;1.681;0,71;240.316;5.947;4.279;1.668;0,70;241.467;5.326;4.175;1.151;0,48;241.926;4.588;4.129;459;0,19;240.801;3.628;4.753;-1.125;-0,47;241.308;4.481;3.974;507;0,21;243.212;6.167;4.263;1.904;0,79;244.103;5.492;4.601;891;0,37;245.594;5.767;4.276;1.491;0,61;247.115;6.098;4.577;1.521;0,62;248.452;5.673;4.336;1.337;0,54;250.023;5.960;4.389;1.571;0,63;251.253;6.202;4.972;1.230;0,49;252.372;5.899;4.780;1.119;0,45;253.057;5.817;5.132;685;0,27;253.961;5.644;4.740;904;0,36;253.623;4.145;4.483;-338;-0,13;253.964;5.157;4.816;341;0,13;255.289;5.802;4.477;1.325;0,52;256.855;6.720;5.154;1.566;0,61;259.330;6.933;4.458;2.475;0,96;261.974;7.583;4.939;2.644;1,02;263.799;7.131;5.306;1.825;0,70;265.014;6.317;5.102;1.215;0,46;266.080;6.563;5.497;1.066;0,40;267.162;6.115;5.033;1.082;0,41;268.270;5.745;4.637;1.108;0,41;268.554;4.995;4.711;284;0,11;69.061;54.130;14.931;5,89;73.206;58.613;14.593;5,75;;;;;;;
;Indústrias de Transformação;6.860.903;229.525;174.052;55.473;6.894.126;236.146;202.923;33.223;0,48;6.859.943;213.587;247.770;-34.183;-0,50;6.659.183;89.813;290.573;-200.760;-2,93;6.561.279;95.469;193.373;-97.904;-1,47;6.556.837;137.323;141.765;-4.442;-0,07;6.608.938;197.406;145.305;52.101;0,79;6.699.125;244.024;153.837;90.187;1,36;6.807.313;282.477;174.289;108.188;1,61;6.889.325;272.580;190.568;82.012;1,20;6.937.413;240.342;192.254;48.088;0,70;6.896.509;164.071;204.975;-40.904;-0,59;6.983.487;281.902;194.924;86.978;1,26;7.071.033;305.903;218.357;87.546;1,25;7.109.213;277.754;239.574;38.180;0,54;7.125.681;227.656;211.188;16.468;0,23;7.164.458;240.874;202.097;38.777;0,54;7.209.431;244.921;199.948;44.973;0,63;7.263.824;262.016;207.623;54.393;0,75;7.333.128;294.060;224.756;69.304;0,95;7.405.905;293.711;220.934;72.777;0,99;7.429.652;254.012;230.265;23.747;0,32;7.435.584;227.410;221.478;5.932;0,08;7.347.288;152.635;240.931;-88.296;-1,19;7.396.090;269.125;220.323;48.802;0,66;7.434.665;293.977;255.402;38.575;0,52;7.446.753;290.189;278.101;12.088;0,16;7.469.273;268.011;245.491;22.520;0,30;7.511.354;289.639;247.558;42.081;0,56;7.549.340;274.845;236.859;37.986;0,51;7.595.611;285.057;238.786;46.271;0,61;7.644.542;305.511;256.580;48.931;0,64;7.698.665;289.425;235.302;54.123;0,71;7.711.760;246.992;233.897;13.095;0,17;7.685.132;213.591;240.219;-26.628;-0,35;7.572.140;142.949;255.941;-112.992;-1,47;7.605.878;280.151;246.413;33.738;0,45;7.643.068;287.191;250.001;37.190;0,49;7.660.944;314.684;296.808;17.876;0,23;7.675.130;271.801;257.615;14.186;0,19;7.680.887;286.309;280.552;5.757;0,08;7.690.594;269.659;259.952;9.707;0,13;7.708.895;272.276;253.975;18.301;0,24;7.736.972;307.155;279.078;28.077;0,36;7.778.924;284.246;242.294;41.952;0,54;7.797.106;268.151;249.969;18.182;0,23;7.782.971;234.514;248.649;-14.135;-0,18;3.076.137;2.865.306;210.831;2,78;3.219.086;3.121.247;97.839;1,27;;;;;;;
